Country,Athlete_Count,Rank,Gold,Silver,Bronze,Total,Rank by Total,Country_Code,GDP,Population
Argentina,180,72,0,1,2,3,60,ARG,487902572164.3484,45312281.0
Armenia,16,69,0,2,2,4,47,ARM,13878908628.937807,2962300.0
Australia,470,6,17,7,22,46,6,AUS,1559033756285.1294,25685412.0
Austria,72,53,1,1,5,7,33,AUT,479295362747.0466,8955797.0
Azerbaijan,41,67,0,3,4,7,33,AZE,54825411764.70589,10137750.0
Bahamas,16,42,2,0,0,2,66,BHS,11368900000.0,396373.0
Bahrain,30,77,0,1,0,1,77,BHR,39288670212.76596,1504365.0
Belarus,104,45,1,3,3,7,33,BLR,69673747131.86996,9302585.0
Belgium,125,29,3,1,3,7,33,BEL,600904461226.3469,11586195.0
Bermuda,2,63,1,0,0,1,77,BMU,7286607000.0,64648.0
Botswana,13,86,0,0,1,1,77,BWA,18750946600.142254,2401441.0
Brazil,291,12,7,6,8,21,12,BRA,1670647399034.6658,209550294.0
Bulgaria,41,30,3,1,2,6,39,BGR,84041493015.66185,6507301.0
Burkina Faso,7,86,0,0,1,1,77,BFA,19643166853.66414,21995243.0
Canada,368,11,7,6,11,24,11,CAN,2007472181464.152,38239864.0
Chinese Taipei,67,34,2,4,6,12,22,TWN,774664000000.0,23855010.0
Colombia,64,66,0,4,1,5,42,COL,318524633225.39514,51188173.0
Croatia,57,26,3,3,2,8,29,HRV,69602166351.47713,3878981.0
Cuba,69,14,7,3,5,15,18,CUB,107352000000.0,11317498.0
Czech Republic,117,18,4,4,3,11,23,CZE,281791218507.0996,10505772.0
Côte d'Ivoire,29,86,0,0,1,1,77,CIV,72794636653.77934,29639736.0
Denmark,103,25,3,4,4,11,23,DNK,405687998852.6912,5856733.0
Dominican Republic,61,68,0,3,2,5,42,DOM,94243425938.36469,11123476.0
Ecuador,46,38,2,1,0,3,60,ECU,107435101000.0,17682454.0
Egypt,133,54,1,1,4,6,39,EGY,424671765455.7043,110957008.0
Estonia,33,59,1,0,1,2,66,EST,36864792511.63506,1330932.0
Ethiopia,42,56,1,1,2,4,47,ETH,111261882958.4261,122138588.0
Fiji,28,59,1,0,1,2,66,FJI,4305031649.741891,916711.0
Finland,45,85,0,0,2,2,66,FIN,296470417085.26654,5541017.0
France,377,8,10,12,11,33,10,FRA,2959355819170.495,67842811.0
Georgia,35,33,2,5,1,8,29,GEO,18853115588.81058,3708610.0
Germany,400,9,10,11,16,37,8,DEU,4278503934689.8535,83196078.0
Ghana,14,86,0,0,1,1,77,GHA,79524421861.27426,32518665.0
Great Britain,366,4,22,21,22,65,4,GBR,3141506156618.7026,66984000.0
Greece,75,36,2,1,1,4,47,GRC,214667807441.202,10569207.0
Grenada,6,86,0,0,1,1,77,GRD,1122800000.0,116688.0
"Hong Kong, China",40,49,1,2,3,6,39,HKG,368954169748.81805,7413100.0
Hungary,155,15,6,7,7,20,13,HUN,182109999477.69077,9630932.0
India,117,48,1,2,4,7,33,IND,3167270623260.5225,1414203896.0
Indonesia,26,55,1,1,3,5,42,IDN,1186509691086.7307,276758053.0
Ireland,116,39,2,0,2,4,47,IRL,513391778882.86,5110585.0
Islamic Republic of Iran,66,27,3,2,2,7,33,IRN,359096907772.2729,88455488.0
Israel,85,39,2,0,2,4,47,ISR,488526545878.89136,9371400.0
Italy,356,10,10,10,20,40,7,ITA,2154875493744.9265,59133173.0
Jamaica,60,21,4,1,4,9,26,JAM,14657586159.431623,2837682.0
Japan,586,3,27,14,17,58,5,JPN,5034620784584.983,125681593.0
Jordan,11,74,0,1,1,2,66,JOR,46296100140.84507,11066356.0
Kazakhstan,92,83,0,0,8,8,29,KAZ,197112255360.61237,19743603.0
Kenya,78,19,4,4,2,10,25,KEN,109703658904.99371,53219166.0
Kosovo,10,42,2,0,0,2,66,XKX,9413403724.018988,1786079.0
Kuwait,10,86,0,0,1,1,77,KWT,141777271268.69412,4360865.0
Kyrgyzstan,16,70,0,2,1,3,60,KGZ,9249133946.265314,6851224.0
Latvia,29,59,1,0,1,2,66,LVA,39443126174.43347,1884490.0
Lithuania,37,77,0,1,0,1,77,LTU,66798933785.77024,2808380.0
Malaysia,29,74,0,1,1,2,66,MYS,373832428055.4486,34282399.0
Mexico,155,84,0,0,4,4,47,MEX,1313069763986.597,127648148.0
Mongolia,43,71,0,1,3,4,47,MNG,15286441737.668615,3383741.0
Morocco,48,63,1,0,0,1,77,MAR,141817797083.46814,36954442.0
Namibia,11,77,0,1,0,1,77,NAM,12402486183.639605,2810548.0
Netherlands,274,7,10,12,14,36,9,NLD,1029678338329.4408,17533044.0
New Zealand,202,13,7,6,7,20,13,NZL,253644079784.97665,5084600.0
Nigeria,59,74,0,1,1,2,66,NGA,440838992188.478,218529286.0
North Macedonia,8,77,0,1,0,1,77,MKD,14000283827.01538,1837114.0
Norway,92,20,4,2,2,8,29,NOR,503367986030.26776,5408320.0
People's Republic of China,401,2,38,32,18,88,2,CHN,17820459508852.184,1412360000.0
Philippines,18,50,1,2,1,4,47,PHL,394087359848.11,113100950.0
Poland,195,17,4,5,5,14,19,POL,681346077608.6073,36981559.0
Portugal,85,56,1,1,2,4,47,PRT,255534839405.899,10361831.0
Puerto Rico,35,63,1,0,0,1,77,PRI,106426600000.0,3262711.0
Qatar,14,41,2,0,1,3,60,QAT,179732009560.43954,2504910.0
ROC,318,5,20,28,23,71,3,RUS,1843392293734.3777,144746762.0
Republic of Korea,223,16,6,4,10,20,13,KOR,1818432106880.0369,51769539.0
Republic of Moldova,19,86,0,0,1,1,77,MDA,13691869264.079351,2595809.0
Romania,99,46,1,3,0,4,47,ROU,285810244501.93335,19122059.0
San Marino,4,72,0,1,2,3,60,SMR,1855382833.1164992,34252.0
Saudi Arabia,32,77,0,1,0,1,77,SAU,874156000000.0,30784383.0
Serbia,83,28,3,1,5,9,26,SRB,63101042897.70703,6834326.0
Slovakia,38,50,1,2,1,4,47,SVK,118563266602.35857,5447247.0
Slovenia,51,31,3,1,1,5,42,SVN,61832201543.82846,2108079.0
South Africa,171,52,1,2,0,3,60,ZAF,420117812466.0407,61502603.0
Spain,324,22,3,8,6,17,17,ESP,1445651653604.628,47443821.0
Sweden,129,23,3,6,0,9,26,SWE,639714956069.4681,10415811.0
Switzerland,115,24,3,4,6,13,20,CHE,813408787222.4987,8704546.0
Syrian Arab Republic,6,86,0,0,1,1,77,SYR,8980060818.721447,21628839.0
Thailand,39,59,1,0,1,2,66,THA,506256494297.33966,71727332.0
Tunisia,57,58,1,1,0,2,66,TUN,46812290143.34397,12048622.0
Turkey,102,35,2,2,9,13,20,TUR,819865253669.6614,84147318.0
Turkmenistan,8,77,0,1,0,1,77,TKM,50007428571.42857,7092043.0
Uganda,24,36,2,1,1,4,47,UGA,40529788744.05949,45910930.0
Ukraine,152,44,1,6,12,19,16,UKR,199765859570.9353,44298640.0
United States of America,615,1,39,41,33,113,1,USA,23594031000000.0,332099760.0
Uzbekistan,63,32,3,0,2,5,42,UZB,69600614987.35088,34243696.0
Venezuela,43,46,1,3,0,4,47,VEN,46585000000.0,28435943.0
